passes,carries,take_ons,cards_red,pens_att,team,shots,assists,xg_assist,shots_on_target,touches,npxg,game_started,position,round,goals,dayofweek,passes_pct,bench_explain,tackles,opponent,blocks,xg,sca,progressive_carries,date,minutes,venue,take_ons_won,result,progressive_passes,match_report,pens_made,cards_yellow,comp,passes_completed,interceptions,gca
,,,,,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",,,,,,,N,,Matchweek 14,,Wed,,"On matchday squad, but did not play",,Everton,,,,,2024-12-04,,Away,,L 0–4,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",,,,,,,N,,Matchweek 15,,Mon,,"On matchday squad, but did not play",,West Ham,,,,,2024-12-09,,Away,,L 1–2,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",,,,,,,N,,Matchweek 16,,Sat,,"On matchday squad, but did not play",,Ipswich Town,,,,,2024-12-14,,Home,,L 1–2,,,,,Premier League,,,
0,1,0,0,0,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",0,0,0.0,0,3,0.0,N,AM,Matchweek 17,0,Sun,,,1,Leicester City,0,0.0,0,0,2024-12-22,2,Away,0,W 3–0,0,,0,0,Premier League,0,0,0
,,,,,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",,,,,,,N,,Matchweek 18,,Thu,,"On matchday squad, but did not play",,Manchester Utd,,,,,2024-12-26,,Home,,W 2–0,,,,,Premier League,,,
10,8,1,0,0,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",1,0,0.0,0,11,0.0,N,AM,Matchweek 19,0,Sun,70.0,,0,Tottenham,0,0.0,1,1,2024-12-29,13,Away,1,D 2–2,1,,0,0,Premier League,7,0,0
6,5,2,0,0,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",0,0,0.0,0,8,0.0,N,AM,Matchweek 20,0,Mon,66.7,,1,Nott'ham Forest,0,0.0,0,0,2025-01-06,16,Home,1,L 0–3,0,,0,0,Premier League,4,0,0
,,,,,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",,,,,,,N,,Matchweek 21,,Wed,,"On matchday squad, but did not play",,Newcastle Utd,,,,,2025-01-15,,Away,,L 0–3,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",,,,,,,N,,Matchweek 22,,Mon,,"On matchday squad, but did not play",,Chelsea,,,,,2025-01-20,,Away,,L 1–3,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",,,,,,,N,,Matchweek 24,,Sat,,"On matchday squad, but did not play",,Aston Villa,,,,,2025-02-01,,Home,,W 2–0,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",,,,,,,N,,Matchweek 25,,Sun,,"On matchday squad, but did not play",,Liverpool,,,,,2025-02-16,,Away,,L 1–2,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",,,,,,,N,,Matchweek 26,,Sat,,"On matchday squad, but did not play",,Bournemouth,,,,,2025-02-22,,Away,,W 1–0,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",,,,,,,N,,Matchweek 29,,Sat,,"On matchday squad, but did not play",,Southampton,,,,,2025-03-15,,Away,,W 2–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",,,,,,,N,,Matchweek 30,,Tue,,"On matchday squad, but did not play",,West Ham,,,,,2025-04-01,,Home,,W 1–0,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",,,,,,,N,,Matchweek 31,,Sat,,"On matchday squad, but did not play",,Ipswich Town,,,,,2025-04-05,,Away,,W 2–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",,,,,,,N,,Matchweek 33,,Sun,,"On matchday squad, but did not play",,Manchester Utd,,,,,2025-04-20,,Away,,W 1–0,,,,,Premier League,,,
4,3,0,0,0,"<a href=""/en/squads/8cec06e1/2024-2025/Wolverhampton-Wanderers-Stats"">Wolves</a>",0,0,0.0,0,4,0.0,N,WB,Matchweek 34,0,Sat,100.0,,0,Leicester City,0,0.0,0,1,2025-04-26,2,Home,0,W 3–0,0,,0,0,Premier League,4,0,0
