dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sun,Y,76.6,1,0,1,2023-12-10,0,Matchweek 16,0.0,0,CB,2,0,0,Premier League,0,0,0,47,0,36,Home,37,90,L 1–2,0,56,2,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Manchester City,,1,3
Sat,Y*,71.4,2,0,0,2023-12-23,0,Matchweek 18,0.0,0,CB,0,1,0,Premier League,2,0,0,35,0,25,Home,23,75,W 1–0,0,48,5,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Newcastle Utd,,2,0
Tue,Y*,70.4,2,0,2,2023-12-26,0,Matchweek 19,0.0,0,CB,1,0,0,Premier League,2,0,0,54,0,38,Away,42,90,W 3–2,0,69,2,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Sheffield Utd,,0,5
Sat,Y*,86.7,2,0,2,2023-12-30,0,Matchweek 20,0.0,0,CB,0,1,0,Premier League,1,0,0,45,0,39,Home,27,90,L 2–3,0,51,5,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Chelsea,,1,1
Fri,Y*,81.0,4,0,3,2024-01-12,0,Matchweek 21,0.0,0,CB,1,2,0,Premier League,3,0,0,79,0,64,Away,59,90,D 1–1,0,89,5,1,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Burnley,,2,0
Tue,Y,80.9,2,0,2,2024-01-30,0,Matchweek 22,0.0,0,CB,3,2,0,Premier League,0,0,0,47,0,38,Home,26,90,W 4–0,0,58,5,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Brighton,,0,2
Sat,Y,74.0,1,0,3,2024-02-03,0,Matchweek 23,0.0,0,"CB,WB",3,0,0,Premier League,2,0,0,50,0,37,Away,30,90,D 4–4,0,61,4,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Newcastle Utd,,0,1
Sat,Y,88.0,0,0,3,2024-02-10,0,Matchweek 24,0.0,0,CB,0,0,0,Premier League,7,0,0,75,0,66,Home,52,90,L 1–3,0,88,14,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Sheffield Utd,,2,2
Sun,Y,79.7,3,0,4,2024-02-18,0,Matchweek 25,0.0,0,CB,5,1,0,Premier League,3,0,0,59,0,47,Home,52,90,L 1–2,0,78,5,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Manchester Utd,,2,1
Wed,Y,83.3,1,0,1,2024-02-21,0,Matchweek 26,0.0,0,CB,1,0,0,Premier League,2,0,0,36,0,30,Away,23,90,L 1–4,0,46,4,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.1,Liverpool,,3,2
Sat,Y,66.7,0,0,0,2024-03-02,0,Matchweek 27,0.0,0,CB,0,0,0,Premier League,0,0,0,3,0,2,Home,2,5,L 2–3,0,3,0,0,0.0,"<a href=""/en/squads/e297cd13/2023-2024/Luton-Town-Stats"">Luton Town</a>",0.0,Aston Villa,,0,0
