dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,N,69.6,2,0,4,2024-03-30,0,Matchweek 30,0.8,2,"RW,RM",1,1,0,Premier League,1,0,0,23,0,16,Home,15,45,W 2–1,1,28,2,1,0.8,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.4,Luton Town,,3,0
Tue,Y,67.5,2,1,4,2024-04-02,1,Matchweek 31,0.4,2,RW,0,2,0,Premier League,0,1,0,40,0,27,Away,31,89,D 1–1,0,47,4,0,0.4,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.1,West Ham,,3,0
Sun,Y,81.5,3,1,6,2024-04-07,0,Matchweek 32,0.8,2,RW,1,1,0,Premier League,2,0,0,54,0,44,Home,40,88,W 3–1,0,64,4,1,0.8,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.1,Nott'ham Forest,,5,2
Sat,Y,89.5,2,0,3,2024-04-13,0,Matchweek 33,0.0,1,"RW,FW,LW",1,1,0,Premier League,0,0,0,19,0,17,Away,13,90,L 0–4,0,22,3,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.2,Newcastle Utd,,1,0
Sun,N,60.0,7,0,5,2024-04-28,0,Matchweek 35,0.1,2,"AM,LW",2,2,0,Premier League,0,0,0,20,0,12,Home,23,60,L 2–3,0,28,1,0,0.1,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.0,Arsenal,,1,0
Thu,Y,63.9,6,0,8,2024-05-02,0,Matchweek 26,0.2,2,"RW,LW",4,1,0,Premier League,0,0,0,36,0,23,Away,28,77,L 0–2,0,49,3,0,0.2,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.1,Chelsea,,4,1
Sun,Y,87.0,2,1,4,2024-05-05,0,Matchweek 36,0.1,1,"LW,RW",1,0,0,Premier League,1,0,0,23,0,20,Away,23,90,L 2–4,1,32,2,1,0.1,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.5,Liverpool,,2,0
Sat,Y,75.0,0,1,2,2024-05-11,0,Matchweek 37,1.1,3,"RW,LW",1,0,0,Premier League,1,0,0,28,0,21,Home,23,90,W 2–1,1,36,5,1,1.1,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.6,Burnley,,5,1
Tue,Y,75.8,1,0,4,2024-05-14,0,Matchweek 34,0.0,0,"FW,RW",2,1,0,Premier League,2,0,0,33,0,25,Home,27,90,L 0–2,0,38,3,0,0.0,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",1.1,Manchester City,,3,0
Sun,Y,64.0,1,0,1,2024-05-19,0,Matchweek 38,0.8,2,RW,0,0,0,Premier League,0,0,0,25,0,16,Away,19,90,W 3–0,1,32,0,1,0.8,"<a href=""/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats"">Tottenham</a>",0.3,Sheffield Utd,,3,0
